name,bigram,bigram_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime,cfld,cfld_runtime
simulated\BPIC_2017_ServiceMiner_1.csv,0.05963088,61.51403809,65.63899302,285.8156543,80.79696315,3.125360012,167.0157182,64.73084211,167.0157182,8.601287365,8.882814313,0.443037272,1.632465241,0.095360041,150.2417287,39.34906793,150.7235704,14.65736127,113.0157182,12.78058219,0.05963088,57.93661523
simulated\BPIC_2017_ServiceMiner_6.csv,0.065555952,61.23170304,51.5064402,245.107147,68.77371796,3.026710033,81.55379404,65.612252,81.55379404,8.576644897,9.579751718,0.408946037,1.691898214,0.093044996,149.0389104,39.63527179,150.0257095,14.56431913,112.8250678,12.81194305,0.065555952,56.67887092
simulated\BPIC_2017_ServiceMiner_3.csv,0.065365577,58.40156198,43.39647615,260.951251,55.3917696,3.014976025,114.9325203,61.96292591,114.9325203,8.56840682,10.83782749,0.425564051,1.641159024,0.09409523,149.4042236,39.62344408,150.1091106,14.62316704,112.9701897,14.49813771,0.065365577,56.49668097
simulated\BPIC_2017_ServiceMiner_9.csv,0.062144446,60.31267715,76.98194821,276.2699189,96.06461254,3.067823172,156.5760163,67.54587698,156.5760163,8.761931896,9.909704194,0.487006903,1.598758816,0.098051786,149.9241594,40.72974706,150.6424261,14.87639189,112.5542005,12.76951504,0.062144446,56.42705321
simulated\BPIC_2017_ServiceMiner_7.csv,0.064477333,58.78014326,68.53999654,273.8468571,84.32790371,3.060513973,162.3859079,64.03262782,162.3859079,9.130177975,9.549420045,0.453622103,1.670463487,0.10876894,150.0096411,43.61988831,150.5492585,14.78361177,112.6974255,12.86209798,0.064477333,57.19784594
simulated\BPIC_2017_ServiceMiner_0.csv,0.064391891,63.14251709,53.48894592,257.008512,68.25768835,3.031475306,99.15609756,63.95367599,99.15609756,8.589841127,9.482782719,0.461302042,1.687990497,0.095676899,148.7806294,40.2559638,149.6054325,14.58462191,112.6281843,12.82650304,0.064391891,57.60847902
simulated\BPIC_2017_ServiceMiner_5.csv,0.063659749,58.50906396,25.87625199,265.7281659,39.64532831,3.130690813,118.9974255,73.32103109,118.9974255,9.708733797,10.60081477,0.499413014,1.601169333,0.125867128,149.5313167,43.43917203,150.296397,16.11459613,112.7878049,13.41024709,0.063659749,57.0121901
simulated\BPIC_2017_ServiceMiner_2.csv,0.067569725,59.97928119,56.86423669,277.4202952,59.662227,3.008113146,120.5818428,67.34890008,120.5818428,8.938223124,9.627287401,0.457397223,1.68172969,0.246351004,150.6062345,41.35649991,150.7287314,15.01642299,113.2873984,12.80570388,0.067569725,59.66148877
simulated\BPIC_2017_ServiceMiner_8.csv,0.0631859,58.71347809,29.8252975,275.026978,47.8082549,3.172866106,70.15094851,64.95072508,70.15094851,8.699235678,10.39758085,0.437179804,1.646936221,0.096640587,149.1646193,40.42869687,150.0139095,15.58698797,112.6155827,13.05500507,0.0631859,56.62604403
simulated\BPIC_2017_ServiceMiner_4.csv,0.060028525,60.42088985,40.29204875,257.0510941,54.87788375,3.035039902,127.6296748,65.330338,127.6296748,8.570612907,9.881155659,0.422942877,1.642235908,0.096296072,149.251389,40.01725292,149.892948,14.59220505,112.8813008,14.0043788,0.060028525,57.50021195
