name,bigram,bigram_runtime,cfld,cfld_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime
LoanApp\LoanApp_extraneous_0.csv.gz,0.015236756,1.758556604,0.023113961,4.933944464,4.945475174,3.077910662,10.85547049,0.033867121,0,0.125085592,0,0.109386444,0.090065485,0.131170511,0.098084386,0.015775442,7.837159637,0.405813932,8.718149192,0.359857321,260.85,0.284759283
LoanApp\LoanApp_extraneous_1.csv.gz,0.018876773,1.798016548,0.022117891,5.709001541,6.401161239,3.104638577,14.08085694,0.031150103,0,0.140902758,0,0.140478849,0.086220446,0.140709639,0.106401158,0,8.180993059,0.452908039,9.092096386,0.416975498,259.154,0.346037388
LoanApp\LoanApp_extraneous_2.csv.gz,0.02816654,2.279592752,0.023276579,6.216487408,3.610517886,4.395106316,8.430639837,0.052065372,0,0.142556667,0,0.140615702,0.08629499,0.156576872,0.117212974,0,8.177389215,0.533814907,9.236569361,0.446058512,278.619,0.517593622
LoanApp\LoanApp_extraneous_3.csv.gz,0.018098484,2.992753267,0.018345455,5.274356127,4.000467165,3.193086863,6.384188364,0.042965412,0,0.124984741,0,0.09365797,0.096278026,0.152747154,0.11481479,0.015791416,8.060197544,0.427216768,8.470985705,0.376017094,265.09,0.279783249
LoanApp\LoanApp_extraneous_4.csv.gz,0.022656753,1.802753925,0.024336671,4.914619923,2.491991458,3.04752183,6.235459458,0.037896156,0,0.126845598,0,0.123596907,0.096087004,0.143059254,0.122539345,0.015697002,8.114588895,0.431158304,9.246790735,0.369995117,266.386,0.283921242
LoanApp\LoanApp_extraneous_5.csv.gz,0.01209204,1.766521454,0.016128175,5.087291479,3.832754939,3.017836332,6.866213852,0.044245481,0,0.125438213,0,0.109375238,0.076042032,0.118423462,0.081492696,0.01561141,8.197610785,0.420448065,8.806032833,0.345334291,256.082,0.284214973
LoanApp\LoanApp_extraneous_6.csv.gz,0.02866186,1.747048378,0.026925972,5.70399785,8.004738388,3.027000427,16.79510797,0.041522264,0,0.125092745,0,0.109287977,0.09469944,0.133436918,0.122288587,0.015836239,7.567004805,0.412741661,8.35167307,0.328155994,259.29,0.269820929
LoanApp\LoanApp_extraneous_7.csv.gz,0.012004237,1.741955996,0.015644024,4.895189285,8.395021356,3.118828535,9.773409721,0.037445307,0,0.125397205,0,0.125001669,0.097823179,0.144686222,0.106611158,0.015713692,7.909369995,0.411091566,8.053657786,0.374965429,246.519,0.2912817
LoanApp\LoanApp_extraneous_8.csv.gz,0.018470588,1.77673769,0.020073012,4.9823699,8.84763748,3.162844419,11.07710967,0.046201229,0,0.125005007,0,0.140719414,0.085252498,0.156904697,0.104593999,0.015658379,8.426121196,0.392611504,8.654377349,0.363074303,260.316,0.288442612
LoanApp\LoanApp_extraneous_9.csv.gz,0.034119506,1.768401384,0.028811652,4.966454268,3.797851041,3.043904066,11.87623467,0.040037632,0,0.12520957,0,0.124999046,0.070514272,0.1601789,0.087508476,0.031344652,7.774893219,0.416171551,8.831589113,0.343970776,270.731,0.286854267
